"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2024","Abilene Christian",70.536,66,68.6028,114,99.0523,294,101.76,259,103.331,126,105.617,162,-3.8577,207
"2024","Air Force",63.4044,355,61.923,359,103.451,219,105.931,181,113.982,346,113.363,327,-7.4325,264
"2024","Akron",66.7263,273,66.0453,271,107.361,131,106.763,164,100.275,51,102.179,98,4.58416,122
"2024","Alabama",73.8673,9,72.5859,14,121.378,2,125.996,2,108.965,270,103.035,111,22.9614,14
"2024","Alabama A&M",71.7111,39,70.6415,42,95.9575,331,94.2301,346,104.979,176,108.591,223,-14.3614,324
"2024","Alabama St.",69.0655,137,67.2171,198,93.9542,347,93.0581,352,100.59,60,105.346,155,-12.2879,310
"2024","Albany",74.333,6,73.1235,6,104.457,200,105.298,196,106.215,214,111.116,280,-5.8178,244
"2024","Alcorn St.",68.329,187,66.511,247,105.142,183,106.46,171,113.272,341,116.606,354,-10.1462,294
"2024","American",62.915,359,62.8851,355,106.303,149,103.541,224,106.857,227,113.941,335,-10.4,296
"2024","Appalachian St.",68.6858,157,67.0684,213,109.532,92,108.449,134,97.3208,18,98.5668,41,9.8821,83
"2024","Arizona",73.3951,11,72.2403,16,116.71,13,120.247,11,96.7939,13,93.6966,10,26.5501,6
"2024","Arizona St.",70.5509,64,69.1854,86,97.504,316,104.009,218,104.597,171,100.089,64,3.92006,127
"2024","Arkansas",72.2026,26,70.8422,38,105.897,164,109.962,103,109.076,273,104.095,133,5.86781,108
"2024","Arkansas Pine Bluff",73.0347,15,71.9251,18,103.856,213,102.239,250,114.427,352,118.926,360,-16.6869,331
"2024","Arkansas St.",69.9627,93,68.0618,147,112.752,36,113.382,61,109.717,291,109.981,251,3.40121,133
"2024","Army",63.18,357,63.1486,352,93.7353,349,90.8707,357,102.933,115,109.875,247,-19.0038,344
"2024","Auburn",70.895,56,69.9688,59,117.177,12,120.38,10,96.3047,8,92.3905,6,27.9896,4
"2024","Austin Peay",65.5753,325,64.7652,326,109.617,90,108.188,142,111.753,326,114.105,336,-5.91734,245
"2024","Ball St.",67.4976,241,66.9643,220,105.289,177,102.951,241,106.606,220,110.805,270,-7.85374,266
"2024","Baylor",66.7204,275,65.7946,282,117.473,9,122.428,6,104.349,161,100.524,72,21.904,15
"2024","Bellarmine",66.4824,280,64.9084,317,100.636,272,100.326,279,114.394,351,113.438,330,-13.112,316
"2024","Belmont",71.9026,35,71.3132,29,107.452,127,109.359,113,105.414,190,104.05,130,5.30828,115
"2024","Bethune Cookman",70.8346,57,69.8546,62,98.5352,304,97.9359,313,102.78,112,108.914,235,-10.9784,303
"2024","Binghamton",68.0898,201,66.3486,257,101.542,258,102.493,245,107.362,242,111.478,289,-8.98437,284
"2024","Boise St.",66.3846,285,66.6495,243,110.354,68,113.365,63,100.804,67,97.3998,29,15.9653,44
"2024","Boston College",67.6976,226,66.9873,217,108.7,108,113.878,55,105.482,193,102.438,101,11.4399,71
"2024","Boston University",65.6953,320,65.8905,275,99.0878,293,98.2624,309,100.921,73,108.733,229,-10.4703,297
"2024","Bowling Green",68.5834,163,67.7707,161,104.158,207,102.364,247,103.486,135,107.93,209,-5.56647,239
"2024","Bradley",67.0006,266,66.4073,254,109.648,88,112.146,76,99.9642,45,99.9617,62,12.1848,64
"2024","Brown",67.6376,230,67.2568,196,102.79,233,104.267,216,105.751,199,106.738,183,-2.47174,191
"2024","Bryant",75.3787,2,74.2362,3,99.4465,291,101.107,268,98.7481,33,102.018,95,-0.91143,173
"2024","Bucknell",64.1487,351,64.9048,318,100.803,270,100.233,282,103.737,142,108.689,225,-8.45605,276
"2024","Buffalo",70.1324,82,69.1986,83,95.6487,333,95.3751,338,113.129,340,115.075,345,-19.6999,348
"2024","Butler",69.3125,125,68.5575,120,107.772,122,113.227,67,104.401,164,100.629,76,12.5979,61
"2024","BYU",69.9456,96,69.1965,84,116.413,16,119.83,14,100.111,49,99.8688,60,19.9612,18
"2024","Cal Baptist",65.2943,333,63.6526,346,102.026,247,103.236,236,102.2,99,105.705,165,-2.46942,190
